"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,70,"SLV","El Salvador",1,"Ahuachapán","SV.AH",NA,"","Departamento","Department","",""
2,70,"SLV","El Salvador",2,"Cabañas","SV.CA",NA,"","Departamento","Department","",""
3,70,"SLV","El Salvador",3,"Chalatenango","SV.CH",NA,"","Departamento","Department","",""
4,70,"SLV","El Salvador",4,"Cuscatlán","SV.CU",NA,"","Departamento","Department","",""
5,70,"SLV","El Salvador",5,"La Libertad","SV.LI",NA,"","Departamento","Department","",""
6,70,"SLV","El Salvador",6,"La Paz","SV.PA",NA,"","Departamento","Department","",""
7,70,"SLV","El Salvador",7,"La Unión","SV.UN",NA,"","Departamento","Department","",""
8,70,"SLV","El Salvador",8,"Morazán","SV.MO",NA,"","Departamento","Department","",""
9,70,"SLV","El Salvador",9,"San Miguel","SV.SM",NA,"","Departamento","Department","",""
10,70,"SLV","El Salvador",10,"San Salvador","SV.SS",NA,"","Departamento","Department","",""
11,70,"SLV","El Salvador",11,"San Vicente","SV.SV",NA,"","Departamento","Department","",""
12,70,"SLV","El Salvador",12,"Santa Ana","SV.SA",NA,"","Departamento","Department","",""
13,70,"SLV","El Salvador",13,"Sonsonate","SV.SO",NA,"","Departamento","Department","",""
14,70,"SLV","El Salvador",14,"Usulután","SV.US",NA,"","Departamento","Department","",""
